period,period_end,Currency,statement_line,label,semantic_category,amount,source_table,source_filter,n_tx,classification_coverage_ratio,unknown_amount,review_required_amount,caveat,frontend_suitability
2026-01,2026-01-31,ARS,transfer_to_family_expense,Transfer to family expense,non_operating_distribution_detail,20.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_subbucket=transfer_to_family_expense; amount_out,1,0.9377777777777778,28.0,28.0,Transfer/gasto candidate; not property OPEX.,review_before_frontend
2026-01,2026-01-31,ARS,coverage_after_draws,Coverage after draws,coverage,0.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; net_operating + funding_contributions - family_draws_or_distributions,18,0.9377777777777778,28.0,28.0,Coverage-like cash view; not a pure operating result.,review_before_frontend
2026-01,2026-01-31,ARS,treasury_fx_conversion_in,FX conversion proceeds,treasury,24.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_bucket=treasury_fx; semantic_subbucket=fx_conversion_proceeds; amount_in,1,0.9377777777777778,28.0,28.0,FX conversion changes liquidity by currency but is not operating income or funding.,safe_with_caveat
2026-01,2026-01-31,ARS,treasury_fx_conversion_out,FX conversion outflow,treasury,25.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_bucket=treasury_fx; semantic_subbucket=fx_conversion_outflow; amount_out,1,0.9377777777777778,28.0,28.0,FX conversion changes liquidity by currency but is not operating income or funding.,safe_with_caveat
2026-01,2026-01-31,ARS,treasury_fx_cost,FX cost / spread,treasury,26.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_bucket=treasury_fx; semantic_subbucket=fx_cost_or_spread; amount_out,1,0.9377777777777778,28.0,28.0,Treasury/financial FX cost; not property OPEX unless explicitly reclassified.,safe_with_caveat
2026-01,2026-01-31,ARS,treasury_fx_net,FX net treasury effect,treasury,-54.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; treasury_fx_conversion_in - treasury_fx_conversion_out - treasury_fx_cost +/- other_fx,4,0.9377777777777778,28.0,28.0,FX conversion changes liquidity by currency but is not operating income or funding.,safe_with_caveat
2026-01,2026-01-31,ARS,unknown_or_ambiguous_outflows,Unknown or ambiguous outflows,data_quality,28.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_bucket=unknown or review_required=true; amount_out else amount_abs,1,0.9377777777777778,28.0,28.0,Requires accounting review before decision-grade reporting.,not_frontend_ready
2026-01,2026-01-31,ARS,classification_coverage,Classification coverage,data_quality,0.9377777777777778,monthly_flow_semantic_split.csv,supplied_semantic_universe; classified_amount_abs / eligible_amount_abs,18,0.9377777777777778,28.0,28.0,"Ratio, not money.",safe_canonical
2026-01,2026-01-31,ARS,debt_movements,Debt movements,non_operating_debt,43.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_bucket=debt_movement; amount_abs,2,0.9377777777777778,28.0,28.0,Excluded from property OPEX and net operating.,review_before_frontend
2026-01,2026-01-31,ARS,internal_transfers,Internal transfers,non_operating_transfer,23.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_bucket=internal_transfer; amount_abs,1,0.9377777777777778,28.0,28.0,"Excluded from operating revenue, property OPEX, and net operating.",review_before_frontend
2026-02,2026-02-28,USD,operating_revenue,Operating revenue,operating,50.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_bucket=operating_revenue; amount_in,1,0.8636363636363636,9.0,9.0,"Excludes funding, family withdrawals, debt movements, internal transfers, and unknown/review-required flows from net operating.",safe_canonical
2026-02,2026-02-28,USD,rent_revenue,Rent revenue,operating_detail,50.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_bucket=operating_revenue; semantic_subbucket=rent; amount_in,1,0.8636363636363636,9.0,9.0,"Excludes funding, family withdrawals, debt movements, internal transfers, and unknown/review-required flows from net operating.",safe_canonical
2026-02,2026-02-28,USD,property_opex_true,True property operating expense,operating,7.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_bucket=property_opex; amount_out,1,0.8636363636363636,9.0,9.0,"Excludes funding, family withdrawals, debt movements, internal transfers, and unknown/review-required flows from net operating.",safe_canonical
2026-02,2026-02-28,USD,taxes,Taxes,property_opex_detail,0.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_bucket=property_opex; semantic_subbucket=taxes; amount_out,0,0.8636363636363636,9.0,9.0,"Excludes funding, family withdrawals, debt movements, internal transfers, and unknown/review-required flows from net operating.",safe_canonical
2026-02,2026-02-28,USD,services,Services,property_opex_detail,7.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_bucket=property_opex; semantic_subbucket=services; amount_out,1,0.8636363636363636,9.0,9.0,"Excludes funding, family withdrawals, debt movements, internal transfers, and unknown/review-required flows from net operating.",safe_canonical
2026-02,2026-02-28,USD,maintenance,Maintenance,property_opex_detail,0.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_bucket=property_opex; semantic_subbucket=maintenance; amount_out,0,0.8636363636363636,9.0,9.0,"Excludes funding, family withdrawals, debt movements, internal transfers, and unknown/review-required flows from net operating.",safe_canonical
2026-02,2026-02-28,USD,legal,Legal,property_opex_detail,0.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_bucket=property_opex; semantic_subbucket=legal; amount_out,0,0.8636363636363636,9.0,9.0,"Excludes funding, family withdrawals, debt movements, internal transfers, and unknown/review-required flows from net operating.",safe_canonical
2026-02,2026-02-28,USD,other_property_opex,Other property OPEX,property_opex_detail,0.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_bucket=property_opex; semantic_subbucket not in explicit property opex list; amount_out,1,0.8636363636363636,9.0,9.0,Should remain zero unless future explicit OPEX rules are added.,review_before_frontend
2026-02,2026-02-28,USD,net_operating,Net operating,operating_result,43.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; operating_revenue - property_opex_true,2,0.8636363636363636,9.0,9.0,"Excludes funding, family withdrawals, debt movements, internal transfers, and unknown/review-required flows from net operating.",safe_canonical
2026-02,2026-02-28,USD,funding_contributions,Funding contributions,non_operating_funding,0.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_bucket=funding_contribution; amount_in,0,0.8636363636363636,9.0,9.0,Shown separately; not operating revenue.,safe_canonical
2026-02,2026-02-28,USD,family_draws_or_distributions,Family draws or distributions,non_operating_distribution,0.0,monthly_flow_semantic_split.csv,"supplied_semantic_universe; semantic_bucket in family_withdrawal_candidate,family_withdrawal; amount_out",0,0.8636363636363636,9.0,9.0,Candidate line for review; not property OPEX.,review_before_frontend
2026-02,2026-02-28,USD,personal_expenses,Personal expenses,non_operating_distribution_detail,0.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_subbucket=personal_expense; amount_out,0,0.8636363636363636,9.0,9.0,Personal expenses are distribution candidates; not property OPEX.,review_before_frontend
2026-02,2026-02-28,USD,dividends,Dividends,non_operating_distribution_detail,0.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_subbucket=dividend; amount_out,0,0.8636363636363636,9.0,9.0,Dividend-like flows are not property OPEX.,review_before_frontend
2026-02,2026-02-28,USD,transfer_to_family_expense,Transfer to family expense,non_operating_distribution_detail,0.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_subbucket=transfer_to_family_expense; amount_out,0,0.8636363636363636,9.0,9.0,Transfer/gasto candidate; not property OPEX.,review_before_frontend
2026-02,2026-02-28,USD,coverage_after_draws,Coverage after draws,coverage,43.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; net_operating + funding_contributions - family_draws_or_distributions,3,0.8636363636363636,9.0,9.0,Coverage-like cash view; not a pure operating result.,review_before_frontend
2026-02,2026-02-28,USD,treasury_fx_conversion_in,FX conversion proceeds,treasury,0.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_bucket=treasury_fx; semantic_subbucket=fx_conversion_proceeds; amount_in,0,0.8636363636363636,9.0,9.0,FX conversion changes liquidity by currency but is not operating income or funding.,safe_with_caveat
2026-02,2026-02-28,USD,treasury_fx_conversion_out,FX conversion outflow,treasury,0.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_bucket=treasury_fx; semantic_subbucket=fx_conversion_outflow; amount_out,0,0.8636363636363636,9.0,9.0,FX conversion changes liquidity by currency but is not operating income or funding.,safe_with_caveat
2026-02,2026-02-28,USD,treasury_fx_cost,FX cost / spread,treasury,0.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_bucket=treasury_fx; semantic_subbucket=fx_cost_or_spread; amount_out,0,0.8636363636363636,9.0,9.0,Treasury/financial FX cost; not property OPEX unless explicitly reclassified.,safe_with_caveat
2026-02,2026-02-28,USD,treasury_fx_net,FX net treasury effect,treasury,0.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; treasury_fx_conversion_in - treasury_fx_conversion_out - treasury_fx_cost +/- other_fx,0,0.8636363636363636,9.0,9.0,FX conversion changes liquidity by currency but is not operating income or funding.,safe_with_caveat
2026-02,2026-02-28,USD,unknown_or_ambiguous_outflows,Unknown or ambiguous outflows,data_quality,9.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_bucket=unknown or review_required=true; amount_out else amount_abs,1,0.8636363636363636,9.0,9.0,Requires accounting review before decision-grade reporting.,not_frontend_ready
2026-02,2026-02-28,USD,classification_coverage,Classification coverage,data_quality,0.8636363636363636,monthly_flow_semantic_split.csv,supplied_semantic_universe; classified_amount_abs / eligible_amount_abs,3,0.8636363636363636,9.0,9.0,"Ratio, not money.",safe_canonical
2026-02,2026-02-28,USD,debt_movements,Debt movements,non_operating_debt,0.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_bucket=debt_movement; amount_abs,0,0.8636363636363636,9.0,9.0,Excluded from property OPEX and net operating.,review_before_frontend
2026-02,2026-02-28,USD,internal_transfers,Internal transfers,non_operating_transfer,0.0,monthly_flow_semantic_split.csv,supplied_semantic_universe; semantic_bucket=internal_transfer; amount_abs,0,0.8636363636363636,9.0,9.0,"Excluded from operating revenue, property OPEX, and net operating.",review_before_frontend
