surface,current production consumer,test-only consumer,accounting significance,can delete now?,blocker,expected LOC win,risk
"views/v_opex_category_monthly.csv","metrics.build load_context -> builders.build_is_opex_total","metrics/marts tests","Legacy OPEX input feeding old IS.OPEX.TOTAL metric only; governed property OPEX exists in semantic/annual path","DEFER","Retire/migrate old leaf builder and metric_values dependency; then remove mart output","~45 mart LOC + leaf builder/context wiring","medium"
"views/v_cashflow_monthly.csv","none found outside accounting.marts.build/docs","marts tests if any","Narrative compatibility mart; not canonical cash authority","YES","None; keep monthly_cash_close and box diagnostic evidence","~40-70 builder/export LOC","low"
"views/renta_pivot.party_currency.csv","none found outside accounting.marts.build/docs","legacy/marts tests if any","Presentation convenience; semantic rent authority is elsewhere","YES","None after confirming no external notebook outside repo; current repo/viewer has no consumer","~40-70 builder/export LOC","low"
"views/fondos_wide.csv","none found outside accounting.marts.build/docs","legacy/marts tests if any","Presentation convenience only","YES","None after confirming no external notebook outside repo; current repo/viewer has no consumer","~30-60 builder/export LOC","low"
"views/party_balance_detailed.csv","metrics.build loads optionally but no ctx.party_balance_detailed consumer found","marts/context tests if any","Diagnostic party balance evidence; not current accounting authority","YES","If retained for analysts, move to explicit diagnostics rather than production mart contract","~20-40 production wiring LOC; larger if party-view family retired","low-medium"
"views/party_balance_*_wide + balance_by_flujo_tipo + consolidated_balance + upcoming_90.raw","none found as current production consumers","marts/docs/historical notebook references","Diagnostic/presentation convenience; some can obscure zero-sum or be raw convenience","YES","Preserve underlying Stage-D evidence; do not delete canonical ledger/per_party/box artifacts","~120-220 export LOC","low-medium"
"fondos_report.csv input fallback","accounting.marts.build best-effort legacy loader only","historical compatibility tests/docs","Historical compatibility only; never required by current Makefile path","YES","None; current Stage-D per_party source is preferred/required","~20-35 loader/fallback LOC","low"
"renta_*.csv input fallback","accounting.marts.build best-effort legacy loader only","historical compatibility tests/docs","Historical compatibility only; never current rent authority","YES","None; current Stage-D/semantic sources retain rent evidence","~40-70 loader/fallback LOC","low"
"pre-governed/minimal cash-position drilldown helpers","reachable only when modern cash schema unsupported or diagnostic box route; no current governed producer requires them","tests/test_legacy_position_compatibility.py","Historical compatibility behavior can mix validated/inferred rows and is explicitly non-authoritative","YES after retiring diagnostic-box presentation route","Retire diagnostic-box presentation and declare governed monthly_cash_close schema the only supported professional cash input","~100-250 legacy drilldown LOC/tests","medium"
"pre-governed/minimal debt-position/activity drilldown fallbacks","legacy router fallback when governed executors return unsupported","legacy position/debt compatibility tests","Historical/minimal schema compatibility; modern governed debt executors own meaning","YES if supported-input contract is enforced","Make modern component-grained debt schemas a hard supported-pack precondition; remove compatibility fixtures","~150-300 legacy drilldown LOC/tests","medium"
"legacy derived-label/formula fallback","legacy _build_derived_cell after modern DerivedMetricSpec executor misses","tests/test_legacy_derived_formula_compatibility.py","Historical derived presentation compatibility","DEFER","Ensure every supported derived row has stable derived_metric_id/contract; then remove label inference","~200-500 legacy drilldown LOC","medium-high"
"accounting.metrics.annual_legacy.py","accounting.metrics.annual facade delegates baseline builder and helpers","legacy/module/semantic tests","Still transitively production-critical despite name; facade rewrites governed cash/funding on top","NO","Migrate remaining baseline annual construction/helpers into governed module before deleting file","~33 KB gross source; net smaller because logic must move","high"
"accounting.metrics.frontier_legacy.py","accounting.metrics.frontier delegates non-cash frontier and QA helpers","legacy/module/frontier tests","Still transitively production-critical; current frontier facade only replaces governed cash subset","NO","Implement non-cash frontier directly against governed sources and rehome QA helpers","~25 KB gross source; net smaller because logic must move","high"
"accounting.professional.annual_dashboard_tables_legacy.py","modern annual_dashboard_tables uses helper primitives and fallbacks; exported debt/write helpers are repo-test-only","tests/test_annual_dashboard_tables.py; legacy module tests","Mostly compatibility/helper host, not independent authority","DEFER","Rehome generic wide/empty helpers and governed debt companion builders; drop modern-schema fallbacks","~21 KB gross; likely material net deletion after helper extraction","medium"
"accounting.professional.drilldown_legacy.py","current drilldown facade still uses legacy orchestrator/source discovery/HTML writers/CLI and residual fallback router","many compatibility/integration tests","Large compatibility implementation; not semantic authority but still runtime chassis","NO","Extract modern orchestrator/writers; retire diagnostic/minimal/label routes incrementally; resolve deferred funding/FX/specialized formulas","~3.9k LOC gross; large net opportunity after route migrations","high"
